"id","registro","solicitante","oficio_solicitud","fecha_solicitud","objetivo_avaluo","proposito_avaluo","inmueble_valua","ubicacion","colonia_poblacion","municipio","propietario","x_utm","y_utm","zona_utm","cuenta_predial","cuc","clasificacion_zona","agua","drenaje","energia_electrica","telefonia","tipo_pavimento","alumbrado_publico","banqueta","indice_saturacion","topografia","col1","med1","col2","med2","col3","med3","col4","med4","col5","med5","col6","med6","sp1_superficie","sp1_vu","sp1_factor","sp1_valor_parcial","sp2_superficie","sp2_vu","sp2_factor","sp2_valor_parcial","sp3_superficie","sp3_vu","sp3_factor","sp3_valor_parcial","sp4_superficie","sp4_vu","sp4_factor","sp4_valor_parcial","incr_esq_superficie","incr_esq_vu","incr_esq_factor","incr_esq_valor_parcial","sup_total_terreno","valor_total_terreno","uso_dominante","tipo_constr_dominante","muros","estructura","entrepisos","techos","pisos","puertas","ventanas","carpinteria","inst_electrica","inst_sanitaria","inst_especial","acabado_exterior","acabado_interior","muebles_sanitarios","cna_tipo","cna_vida_util","cna_estado","cna_edad","cna_superficie","cna_vu","cna_factor","cna_valor_parcial","cnb_tipo","cnb_vida_util","cnb_estado","cnb_edad","cnb_superficie","cnb_vu","cnb_factor","cnb_valor_parcial","cnc_tipo","cnc_vida_util","cnc_estado","cnc_edad","cnc_superficie","cnc_vu","cnc_factor","cnc_valor_parcial","cnd_tipo","cnd_vida_util","cnd_estado","cnd_edad","cnd_superficie","cnd_vu","cnd_factor","cnd_valor_parcial","sup_total_construccion","valor_total_construccion","vt_comercial_fisico","capitalizacion_valor_fisico","comparativo_mercado","renta_comparativo","indicador_capitalizacion","indicador_comparativo","renta_minima","renta_maxima","renta_m2_minima","renta_m2_maxima","domicilio_geografico","observaciones","usuario","fecha_emision","myc_segun","calle","numero","lat","long","croquis","foto","geom","google","firmante","puesto","estatus","url_docs_entrada","id_entrada","expediente","asignado_por","cnb_muros","cnb_estructura","cnb_entrepisos","cnb_techos","cnb_pisos","cnb_puertas","cnb_ventanas","cnb_carpinteria","cnb_inst_electrica","cnb_inst_sanitaria","cnb_inst_especial","cnb_acabado_exterior","cnb_acabado_interior","cnb_muebles_sanitarios","cnc_muros","cnc_estructura","cnc_entrepisos","cnc_techos","cnc_pisos","cnc_puertas","cnc_ventanas","cnc_carpinteria","cnc_inst_electrica","cnc_inst_sanitaria","cnc_inst_especial","cnc_acabado_exterior","cnc_acabado_interior","cnc_muebles_sanitarios","cnd_muros","cnd_estructura","cnd_entrepisos","cnd_techos","cnd_pisos","cnd_puertas","cnd_ventanas","cnd_carpinteria","cnd_inst_electrica","cnd_inst_sanitaria","cnd_inst_especial","cnd_acabado_exterior","cnd_acabado_interior","cnd_muebles_sanitarios","gid_domicilio","valor_total_obras_comp","obras_comp_descripcion","oficio_respuesta","tasa_capitalizacion","pct_indicador_capitalizacion","pct_indicador_comparativo","planta_arquitectonica","medidas_reverso"
1,"0101-01_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 001,LERDO ORIENTE # 114,CENTRO,Abasolo,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,236233.0,2263550.0,14,,"202707678210131415962",CENTRO MEDIO,1,1,1,1,CONCRETO,1,1,"1",PLANA,NORTE,"5.73 m CALLE LERDO ORIENTE",SUR,"3 TRAMOS EN LÍNEA QUEBRADA DE 1.48 m, 2.65 m Y 4.10 m CON PROPIEDAD PRIVADA",ORIENTE,"7.11 m CON PROPIEDAD PRIVADA ",PONIENTE,"9.76 m CON PROPIEDAD PRIVADA ",,,,,45.0,4250.0,1.0,191250.0,,,,0.0,,,,,,,,,,,,,45.0,191250.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CADENAS Y CASTILLOS,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,CORTINA DE ACERO,FIERRO,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMME|7510|60,60,0.99,10,45.0,7510.0,0.909,307196.55,,,,,,,,,,,,,,,,,,,,,,,,,45.0,307196.55,498446.55,3946.04,116.0,5220.0,1190.0,3660.0,3880.0,4850.0,86.22,107.78," CALLE, LERDO ORIENTE, 114, COLONIA, CENTRO, 36970, ABASOLO, GUANAJUATO,entre calles, CALLE, 5 DE MAYO, CALLE, ECHEGARAY SUR, REF. 50.00 METROS AL PONIENTE SE UBICA EL PORTAL HIDALGO SUR., 20.452133,-101.528221 ","La edad de la construcción, se estima en base a la última remodelación apreciada.
",dzamarripag,2019-03-06,PLANO PROPORCIONADO POR EL SOLICITANTE,LERDO ORIENTE,"114",20.4521328405813,-101.528221185835,DF001.png,F001.jpg,POINT (-101.528221185835 20.4521328405813),"https://google.com/maps/place/20.4521328405812994,-101.528221185834994",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0101-13_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 022,PUEBLA ESQ. MICHOACÁN # 599,PROGRESO,Moroleon,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,271757.0,2226936.0,14,,"200734075010110598256",COMERCIAL DE 2DA,1,1,1,1,CONCRETO,1,1,"1",PLANA,NORTE,"10.20 m PROPIEDAD PRIVADA",SUR,"2 TRAMOS DE 5.04 m Y EN LÍNEA CURVA DE 4.15 m CON CALLE PUEBLA",ESTE,"4 TRAMOS EN L.Q. DE NORTE A SUR EN 10.17 m, QUIEBRA AL OESTE EN 1.82 m, 0.76 m Y CONTINUA AL SUR EN 6.19 m CON PROPIEDAD PRIVADA",OESTE,"14.34 m CON CALLE MICHOACÁN",,,,,148.0,10800.0,0.5,799200.0,,,,,,,,,,,,,148.0,10800.0,0.15,239760.0,148.0,1038960.0,COMERCIAL,MODERNO MEDIO,TABIQUE,CONCRETO ARMADO,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,ALUMINIO,ALUMINIO,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,HBME|7840|60,60,0.975,15,148.0,7840.0,0.835,968867.2,,,,,,,,,,,,,,,,,,,,,,,,,148.0,968867.2,2007827.2,15895.3,135.0,19980.0,4770.0,13990.0,15008.0,18760.0,101.41,126.76,"AVENIDA, PUEBLA, ESQUINA MICHOACÁN, 599, COLONIA, PROGRESO, 38820, Moroleon, Guanajuato,entre calles, CALLE, MICHOACÁN, AVENIDA, AMÉRICA, ref. FRENTE A FARMACIA DEL AHORRO, 20.126132, -101.183285","El inmueble consta de planta baja y dos niveles, el área rentada se ubica en la planta baja. La edad de las construcciones se calcula en base a la ultima remodelación estimada.",dzamarripag,2019-03-11,PLANO PROPORCIONADO POR EL SOLICITANTE,PUEBLA ESQ. MICHOACÁN,"599",20.126131971605,-101.183284910119,DF022.png,F022.jpg,POINT (-101.183284910119 20.126131971605),"https://google.com/maps/place/20.1261319716049982,-101.183284910118999",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"0101-135_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 167,VIUDA DE SAN ROMÁN # 233-A,EMETERIA VALENCIA,Celaya,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,310746.0,2268946.0,14,,"203035219710048536598",COMERCIAL DE 3RA,1,1,1,1,CONCRETO,1,1,"1",PLANA,NORTE,"9.48 m CON PROPIEDAD PRIVADA",SUR,"11.24 m CON VIALIDAD CELAYA - VILLAGRAN",ORIENTE,"10.86 m CON CALLE VIUDA DE SAN ROMÁN",PONIENTE,"10.35 m CON PROPIEDAD PRIVADA",,,,,112.0,3800.0,0.66,280896.0,,,,,,,,,,,,,112.0,3800.0,0.15,63840.0,112.0,344736.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CADENAS Y CASTILLOS,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,CORTINA DE ACERO,NO TIENE,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMEC|6000|50,50,0.975,10,112.0,6000.0,0.873,586656.0,,,,,,,,,,,,,,,,,,,,,,,,,112.0,586656.0,931392.0,7373.52,150.0,16800.0,2220.0,11760.0,11184.0,13980.0,99.86,124.82," CALLE, VIUDA DE SAN ROMÁN, 233-A, COLONIA, EMETERIA VALENCIA, 38070, CELAYA, GUANAJUATO,entre calles, AVENIDA, CONSTITUYENTES, CALLE, JOSÉ MARÍA ALCALÁ, REF. SE UBICA FRENTE A LA COMERCIAL MEXICANA,  20.509783,-100.814906",,dzamarripag,2019-03-26,PLANO PROPORCIONADO POR EL SOLICITANTE,VIUDA DE SAN ROMÁN,"233-A",20.5097832644571,-100.814905507584,DF167.png,F167.jpg,POINT (310746 2268946),"https://google.com/maps/place/20.5097832644571,-100.814905507584",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"0101-181_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 219,AV. SANTA FE # 89,BARRIO DE CERVERA,Guanajuato,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,262018.0,2319822.0,14,,"205749010410117198432",ECONÓMICA-POPULAR,1,1,1,1,CONCRETO,1,1,"0.7",PLANA,NOROESTE,"9.78 m CON CALLE SIN NOMBRE ",SURESTE,"8.47 m CON RESTO DE LA PROPIEDAD ",NORESTE,"9.12 m CON ESTACIONAMIENTO ",SUROESTE,"6 TRAMOS EN L.Q. DE NOROESTE A SURESTE EN 5.34 m, QUIEBRA AL SUROESTE EN 2.00 m, QUIEBRA AL SURESTE EN 2.00 m, QUIEBRA AL NORESTE EN 2.00 m, QUIEBRA AL SURESTE EN 0.83 m Y 1.94 m CON RESTO DE LA PROPIEDAD ",,,,,95.0,2000.0,1.0,190000.0,,,,,,,,,,,,,,,,,95.0,190000.0,HABITACIONAL,MODERNO ECONÓMICO,TABIQUE,CONCRETO ARMADO,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,ALUMINIO,ALUMINIO,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMME|7510|60,60,0.99,2,95.0,7510.0,0.982,700607.9,,,,,,,,,,,,,,,,,,,,,,,,,95.0,700607.9,890607.9,7050.65,200.0,19000.0,2120.0,13300.0,12336.0,15420.0,129.85,162.32,"AVENIDA, SANTA FE, 89, COLONIA, BARRIO DE CERVERA, 36250, Guanajuato, Guanajuato, entre calles, CAMINO, A PASO DE PERULES , CALLE, SIN NOMBRE , REF. FRENTE A LA UNIVERSIDAD SANTA FE, 20.96358577360916, -101.28881468951249",,amendozaa,2019-03-07,PLANO PROPORCIONADO POR EL SOLICITANTE,AV. SANTA FE,"89",20.9636140056331,-101.288845359993,DF219.png,F219.jpg,POINT (-101.288845359993 20.9636140056331),"https://google.com/maps/place/20.9636140056331008,-101.288845359993005",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"0101-120_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 145,AV. IRRIGACIÓN # 135-C,ALFREDO V. BONFIL,Celaya,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,311503.0,2271892.0,14,,"203211278310048286606",ECONÓMICA-POPULAR,1,1,1,1,ASFALTO,1,1,"1",PLANA,NORTE,"3.80 m CON AVENIDA IRRIGACIÓN",SUR,"3.80 m CON PROPIEDAD PRIVADA",ORIENTE,"23.06 m CON RESTO DE LA PROPIEDAD",PONIENTE,"22.88 m CON RESTO DE LA PROPIEDAD",,,,,87.0,3000.0,1.0,261000.0,,,,,,,,,,,,,,,,,87.0,261000.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CADENAS Y CASTILLOS,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,CORTINA DE ACERO,NO TIENE,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMEC|6000|50,50,0.975,15,87.0,6000.0,0.794,414468.0,,,,,,,,,,,,,,,,,,,,,,,,,87.0,414468.0,675468.0,5347.46,135.0,11745.0,1610.0,8230.0,7872.0,9840.0,90.48,113.1,"AVENIDA,  IRRIGACIÓN, 135-C, COLONIA, ALFREDO VÁZQUEZ  BONFIL, 38010, CELAYA, GUANAJUATO, entre calles, CALLE, ODILÓN NERO, CALLE, GENERAL MANUEL PALAFOX, REF. SE UBICA A 50.00 M AL NORTE LA GASOLINERA DE PAMEX,  20.536466,-100.807961",,srangelv,2019-04-02,PLANO PROPORCIONADO POR EL SOLICITANTE,AV. IRRIGACIÓN,"135-C",20.5364661951207,-100.807961288028,DF145.png,F145.jpg,POINT (311503 2271892),"https://google.com/maps/place/20.5364661951207,-100.807961288028",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0101-15_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 024,ÁLVARO OBREGÓN # 2,CENTRO,Romita,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,238146.0,2310163.0,14,,"205223470610131005632",CENTRO ECONÓMICO,1,1,1,1,CONCRETO,1,1,"0.7",PLANA,NORTE,"21.78 m CON PROPIEDAD PRIVADA ",SUR,"3 TRAMOS EN L.Q. DE OESTE A ESTE DE 8.03 m, QUIEBRA AL SUR EN 1.15 m Y CONTINUA AL ESTE EN 13.75 m CON PROPIEDAD PRIVADA ",ESTE,"5.40 m CON PROPIEDAD PRIVADA ",OESTE,"4.25 m CON CALLE ÁLVARO OBREGÓN ",,,,,108.0,3800.0,0.66,270864.0,,,,,,,,,,,,,,,,,108.0,270864.0,HABITACIONAL,MODERNO ECONÓMICO,TABIQUE,CONCRETO ARMADO,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,ALUMINIO,ALUMINIO,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMEC|6000|50,50,0.975,15,216.0,6000.0,0.794,1029024.0,,,,,,,,,,,,,,,,,,,,,,,,,216.0,1029024.0,1299888.0,10290.78,60.0,12960.0,3090.0,9080.0,9736.0,12170.0,45.07,56.34,"CALLE, ÁLVARO OBREGÓN, 2, COLONIA, CENTRO, 36200, Romita, Guanajuato, entre calles, CALLE, MARIANO MATAMOROS , CALLE, PORTAL ARTEAGA , REF. FRENTE A LOCAL COMERCIAL DE COSMETICOS Y PERFUMERIA NOVEDADES, 20.87319829497258, -101.51685406269479","La superficie de construcción, incluye área de planta baja y planta alta. La edad de las construcciones, se estima en base a la última remodelación apreciada.",dzamarripag,2019-03-13,PLANO PROPORCIONADO POR EL SOLICITANTE,ÁLVARO OBREGÓN,"2",20.873186290997,-101.516823133455,DF024.png,F024.jpg,POINT (-101.516823133455 20.873186290997),"https://google.com/maps/place/20.8731862909970012,-101.516823133455006",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"0101-07_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 009,MICHOACÁN # 22-A,CENTRO,Dolores Hidalgo,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,298887.0,2340856.0,14,,"210928625610056127464",CENTRO ECONÓMICO,1,1,1,1,PÓRFIDO,1,1,"1",PLANA,NORORIENTE,"4.45 m CON PROPIEDAD PRIVADA",SURPONIENTE,"6.97 m CON CALLE MICHOACÁN",NORPONIENTE,"19.21 m CON PROPIEDAD PRIVADA",SURORIENTE,"3 TRAMOS EN LÍNEA QUEBRADA DE 13.93 m, 2.52 m Y 5.28 m CON PROPIEDAD PRIVADA",,,,,99.0,6500.0,1.0,643500.0,,,,,,,,,,,,,,,,,99.0,643500.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CADENAS Y CASTILLOS,NO TIENE,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,MADERA,NO TIENE,PINO,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMME|7510|60,60,0.975,10,99.0,7510.0,0.896,666167.04,,,,,,,,,,,,,,,,,,,,,,,,,99.0,666167.04,1309667.04,10368.2,170.0,16830.0,3120.0,11790.0,11928.0,14910.0,120.48,150.61,"CALLE, MICHOACÁN, 22-A, COLONIA, CENTRO, 37800, DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL, GUANAJUATO, entre calles, CALLE, YUCATÁN, CALLE, CAMPECHE, REF. SE UBICA EN FRENTE DE COPPEL, 21.157952, -100.936874",LA EDAD DE LAS CONSTRUCCIONES SE CALCULA EN BASE A LA ÚLTIMA REMODELACIÓN ESTIMADA,dzamarripag,2019-03-07,PLANO PROPORCIONADO POR EL SOLICITANTE,MICHOACÁN,"22-A",21.1579515628615,-100.936874012281,DF009.png,F009.jpg,POINT (-100.936874012281 21.1579515628615),"https://google.com/maps/place/21.1579515628614985,-100.936874012280995",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"0101-09_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 014,AV. GUANAJUATO # 632,DEL BOSQUE,Irapuato,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,255486.0,2286920.0,14,,"203956566510120492834",COMERCIAL DE 2DA,1,1,1,1,CONCRETO,1,1,"1",PLANA,NORTE,"16.55 m CON PROPIEDAD PRIVADA",SUR,"16.55 m CON PROPIEDAD PRIVADA",ESTE,"7.87 m CON AVENIDA GUANAJUATO",OESTE,"7.87 m CON PROPIEDAD PRIVADA",,,,,130.0,5300.0,0.66,454740.0,,,,,,,,,,,,,,,,,130.0,454740.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CONCRETO ARMADO,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,ALUMINIO,ALUMINIO,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMME|7510|60,60,0.99,10,87.0,7510.0,0.909,593913.33,,,,,,,,,,,,,,,,,,,,,,,,,87.0,593913.33,1048653.33,8301.84,135.0,11745.0,2500.0,8230.0,8584.0,10730.0,98.67,123.33,"AVENIDA,  GUANAJUATO, 632, COLONIA, DEL BOSQUE, 36570, Irapuato, Guanajuato,entre calles, CALLE, ENCINO, CALLE, MANZANO, ref. A 50.00 m AL NORTE SE UBICA EL MERCADO, 20.665713,-101.347023","El inmueble consta de planta baja y primer nivel, el área rentada se ubica en la planta baja. La edad de las construcciones se calcula en base a la última remodelación estimada.",dzamarripag,2019-03-08,PLANO PROPORCIONADO POR EL SOLICITANTE,AV. GUANAJUATO,"632",20.6657129368813,-101.347023187533,DF014.png,F014.jpg,POINT (-101.347023187533 20.6657129368813),"https://google.com/maps/place/20.6657129368812988,-101.347023187532997",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0101-18_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 027,HIDALGO # 539,CENTRO,Salvatierra,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,303307.0,2236215.0,14,,"201248296810052574576",CENTRO ECONÓMICO,1,1,1,1,CONCRETO,1,1,"0.7",PLANA,NORTE,"20.53 m CON PROPIEDAD PRIVADA ",SUR,"20.53 m CON PROPIEDAD PRIVADA ",ESTE,"6.02 m CON CALLE MIGUEL HIDALGO ",OESTE,"6.02 m CON PROPIEDAD PRIVADA ",,,,,124.0,4500.0,1.0,558000.0,,,,,,,,,,,,,,,,,124.0,558000.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CONCRETO ARMADO,CONCRETO,LOSA DE CONCRETO,CERÁMICOS ECONÓMICOS,ALUMINIO,ALUMINIO,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMEC|6000|50,50,0.975,20,124.0,6000.0,0.705,524520.0,,,,,,,,,,,,,,,,,,,,,,,,,124.0,524520.0,1082520.0,8569.95,75.0,9300.0,2580.0,6510.0,7272.0,9090.0,58.65,73.31,"CALLE, MIGUEL HIDALGO, 539, COLONIA, CENTRO, 38900, Salvatierra, Guanajuato, entre calles, CALLE, IGNACIO ZARAGOZA , CALLE, PLAZUELA 2 DE ABRIL , REF. A UN COSTADO DE ZAPATERIAS MAC SWINEY, 20.213415803020897, -100.88262712720051",,dzamarripag,2019-03-13,PLANO PROPORCIONADO POR EL SOLICITANTE,HIDALGO,"539",20.2134158030209,-100.882627127201,DF027.png,F027.jpg,POINT (-100.882627127201 20.2134158030209),"https://google.com/maps/place/20.2134158030209008,-100.882627127201005",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"0101-137_19",INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,DI/GACI/014-2019,2019-01-24,ESTIMAR EL VALOR COMERCIAL,JUSTIPRECIACIÓN DE RENTA,FARMACIA 171,"LÁZARO CÁRDENAS # 4088, LOC. 2",RESIDENCIAL CAMPESTRE,Irapuato,INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE GUANAJUATO,253459.0,2288299.0,14,,"204040429510121599772",COMERCIAL DE 3RA,1,1,1,1,ASFALTO,1,1,"0.8",PLANA,NORTE,"8.15 m CON PROPIEDAD PRIVADA.",SUR,"8.15 m CON BOULEVARD LÁZARO CÁRDENAS",ORIENTE,"13.90 m CON LOTE COMERCIAL",PONIENTE,"13.90 m LOTE COMERCIAL",,,,,113.0,8000.0,1.0,904000.0,,,,,,,,,,,,,,,,,113.0,904000.0,COMERCIAL,MODERNO ECONÓMICO,TABIQUE,CADENAS Y CASTILLOS,NO TIENE,LÁMINA INDUSTRIAL,CERÁMICOS ECONÓMICOS,CORTINA DE ACERO,NO TIENE,NO TIENE,OCULTA,OCULTA,NO TIENE,APLANADO,APLANADO,BLANCOS,CMEC|6000|50,50,0.975,10,113.0,6000.0,0.873,591894.0,,,,,,,,,,,,,,,,,,,,,,,,,113.0,591894.0,1495894.0,11842.49,130.0,14690.0,3560.0,10290.0,11080.0,13850.0,98.05,122.57,"AVENIDA, LÁZARO CÁRDENAS, 4088 LOCAL 2, FRACCIONAMIENTO,   RESIDENCIAL CAMPESTRE, 36698, IRAPUATO, GUANAJUATO,entre calles, CALLE, GÉNOVA, CALLE, FLORENCIA, REF. A 100.00 M AL PONIENTE SE UBICA EL HOTEL HAMPTON INN.,  20.677897,-101.366660",,dzamarripag,2019-03-26,PLANO PROPORCIONADO POR EL SOLICITANTE, BOULEVARD LÁZARO CÁRDENAS,"4088, LOC. 2",20.6778970835715,-101.366660356802,DF171.png,F171.jpg,POINT (253459 2288299),"https://google.com/maps/place/20.6778970835715,-101.366660356802",Lic. Aurora Orozco Sánchez,Gerente de Administración y Comercialización de Inmuebles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
